ModifierId,ModifierType,RunOnce,NewOnly,Permanent,Repeatable,OwnerRequirementSetId,SubjectRequirementSetId,OwnerStackLimit,SubjectStackLimit
AGENDA_ALLY_OF_ENKIDU_FRIEND,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_DECLARED_FRIEND,NULL,NULL
AGENDA_ALLY_OF_ENKIDU_DENOUNCED_FRIEND,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_FRIEND_DENOUNCED,NULL,NULL
AGENDA_BACKSTAB_AVERSE_FRIEND,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_DECLARED_FRIEND,NULL,NULL
AGENDA_BACKSTAB_AVERSE_SURPRISE_WAR,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_DECLARES_SURPRISE_WAR,NULL,NULL
AGENDA_BLACK_QUEEN,MODIFIER_PLAYER_DIPLOMACY_AGENDA_BLACK_QUEEN,0,0,0,0,ON_TURN_STARTED,PLAYER_IS_MAJOR_CIV_KNOWN_10_TURNS,NULL,NULL
AGENDA_BUSHIDO,MODIFIER_PLAYER_DIPLOMACY_AGENDA_BUSHIDO,0,0,0,0,ON_TURN_STARTED,PLAYER_IS_MAJOR_CIV_KNOWN_10_TURNS,NULL,NULL
AGENDA_CLEARS_BARBARIAN_CAMPS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_CLEARS_BARBARIAN_CAMPS,NULL,NULL
AGENDA_CONTINENT_ATTACKED,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_ATTACKED_CONTINENT,NULL,NULL
AGENDA_CONTINENT_PEACEFUL,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_PEACEFUL_ON_CONTINENT,NULL,NULL
AGENDA_DIFFERENT_GOVERNMENT,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,AGENDA_REQUIRE_PLAYER_HAS_DIFFERENT_GOVERNMENT,NULL,NULL
AGENDA_HAS_DESIRED_LUXURY,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_DESIRED_LUXURY,NULL,NULL
AGENDA_HAS_NO_DESIRED_LUXURY,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_NO_DESIRED_LUXURY,NULL,NULL
AGENDA_HIGH_AIRPOWER,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_AIRPOWER,NULL,NULL
AGENDA_HIGH_ATTACK_CITY_STATES,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_CITY_STATE_AGGRESSION,NULL,NULL
AGENDA_HIGH_CULTURE,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_CULTURE,NULL,NULL
AGENDA_ENVIRONMENT,MODIFIER_PLAYER_DIPLOMACY_AGENDA_KAITIAKITANGA,0,0,0,0,ON_TURN_STARTED,PLAYER_IS_MAJOR_CIV_KNOWN_30_TURNS,NULL,NULL
AGENDA_HIGH_EXPLORATION,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_EXPLORATION,NULL,NULL
AGENDA_HIGH_FAITH,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_FAITH,NULL,NULL
AGENDA_HIGH_HAPPINESS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_HAPPINESS,NULL,NULL
AGENDA_HIGH_INDUSTRY,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_INDUSTRY,NULL,NULL
AGENDA_HIGH_NUKE_LOVE,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,PLAYER_HAS_NUCLEAR_FISSION_REQUIREMENT,PLAYER_HAS_HIGH_NUKE_LOVE,NULL,NULL
AGENDA_HIGH_POPULATION,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_POPULATION,NULL,NULL
AGENDA_HIGH_PROTECT_CITY_STATES,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_CITY_STATE_PROTECTION,NULL,NULL
AGENDA_HIGH_SCIENCE,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_SCIENCE,NULL,NULL
AGENDA_HIGH_STANDING_ARMY,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_HIGH_STANDING_ARMY,NULL,NULL
AGENDA_IGNORES_BARBARIAN_CAMPS,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_IGNORES_BARBARIAN_CAMPS,NULL,NULL
AGENDA_LAST_VIKING_KING,MODIFIER_PLAYER_DIPLOMACY_AGENDA_LAST_VIKING_KING,0,0,0,0,ON_TURN_STARTED,PLAYER_IS_MAJOR_CIV_KNOWN_10_TURNS,NULL,NULL
AGENDA_LOW_AIRPOWER,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_LOW_AIRPOWER,NULL,NULL
AGENDA_LOW_CULTURE,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_LOW_CULTURE,NULL,NULL
AGENDA_LOW_EXPLORATION,MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,0,0,0,0,NULL,PLAYER_HAS_LOW_EXPLORATION,NULL,NULL
